model,split,condition,n,n_real,n_fake,acc,auroc,precision_fake,recall_fake,fpr,mean_pred,threshold
exp3_dualbranch,official_val,blur_s05,500,250,250,0.8880,0.9734,0.9899,0.7840,0.0080,0.3880,0.5000
exp3_dualbranch,official_val,blur_s10,500,250,250,0.8760,0.9783,0.9896,0.7600,0.0080,0.3727,0.5000
exp3_dualbranch,official_val,blur_s20,500,250,250,0.8560,0.9756,0.9890,0.7200,0.0080,0.3443,0.5000
exp3_dualbranch,official_val,resize_s05,500,250,250,0.8740,0.9776,0.9895,0.7560,0.0080,0.3657,0.5000
exp3_dualbranch,official_val,resize_s025,500,250,250,0.8420,0.9715,0.9886,0.6920,0.0080,0.3381,0.5000
exp3_dualbranch,official_val,noise_s002,500,250,250,0.8880,0.9666,0.9709,0.8000,0.0240,0.4043,0.5000
exp3_dualbranch,official_val,noise_s005,500,250,250,0.8900,0.9761,0.9851,0.7920,0.0120,0.3994,0.5000
exp3_dualbranch,official_val,noise_s010,500,250,250,0.8580,0.9802,0.9891,0.7240,0.0080,0.3613,0.5000
exp3_dualbranch,official_val,jitter_p20,500,250,250,0.8760,0.9677,0.9796,0.7680,0.0160,0.3854,0.5000
exp3_dualbranch,official_val,crop_p80,500,250,250,0.8160,0.9597,0.9702,0.6520,0.0200,0.3371,0.5000
